"k","mean","lo","hi","gene"
5,0.792254792332268,0.770666932907348,0.825079872204473,"KIF1A"
6,0.826049520766773,0.806309904153355,0.853434504792332,"KIF1A"
7,0.849536741214058,0.830171725239617,0.873402555910543,"KIF1A"
8,0.86736821086262,0.850838658146965,0.88827875399361,"KIF1A"
9,0.880891373801917,0.865015974440895,0.90055910543131,"KIF1A"
10,0.892018370607029,0.876497603833866,0.909844249201278,"KIF1A"
1,0.311497603833866,0.241613418530351,0.412739616613419,"KIF5B"
2,0.452878594249201,0.258785942492013,0.578674121405751,"KIF5B"
3,0.523841054313099,0.477635782747604,0.601837060702875,"KIF5B"
4,0.584733226837061,0.582967252396166,0.663039137380192,"KIF5B"
5,0.620998402555911,0.589856230031949,0.695287539936102,"KIF5B"
6,0.646104632587859,0.597344249201278,0.708067092651757,"KIF5B"
7,0.661519968051118,0.619009584664537,0.723342651757188,"KIF5B"
8,0.674991214057508,0.627396166134185,0.728035143769968,"KIF5B"
9,0.682738019169329,0.630890575079872,0.731230031948882,"KIF5B"
10,0.694360223642173,0.637779552715655,0.734424920127795,"KIF5B"
1,0.297921725239617,0.257188498402556,0.335463258785943,"MTOR"
2,0.405438498402556,0.35413338658147,0.454872204472843,"MTOR"
3,0.458506389776358,0.450379392971246,0.488917731629393,"MTOR"
4,0.488156549520767,0.462859424920128,0.518370607028754,"MTOR"
5,0.508362619808307,0.47444089456869,0.530351437699681,"MTOR"
6,0.51986661341853,0.487120607028754,0.538438498402556,"MTOR"
7,0.529995207667732,0.500798722044728,0.544828274760383,"MTOR"
8,0.537716453674121,0.510283546325879,0.551916932907348,"MTOR"
9,0.544212460063898,0.518370607028754,0.557507987220447,"MTOR"
10,0.551400159744409,0.526657348242812,0.563099041533546,"MTOR"
1,0.323448881789137,0.23202875399361,0.411541533546326,"NLRP3"
2,0.531370607028754,0.483726038338658,0.592751597444089,"NLRP3"
3,0.665714856230032,0.620607028753994,0.730930511182109,"NLRP3"
4,0.752503194888179,0.710463258785943,0.802715654952077,"NLRP3"
5,0.812996006389776,0.780650958466454,0.856230031948882,"NLRP3"
6,0.85329552715655,0.829373003194888,0.888678115015974,"NLRP3"
7,0.883638178913738,0.863318690095847,0.911741214057508,"NLRP3"
8,0.906,0.888178913738019,0.93091054313099,"NLRP3"
9,0.922224440894569,0.908047124600639,0.942092651757188,"NLRP3"
10,0.935273961661342,0.924820287539936,0.95167731629393,"NLRP3"
1,0.306538338658147,0.301916932907348,0.356629392971246,"PIK3CA"
2,0.415939297124601,0.356130191693291,0.505890575079872,"PIK3CA"
3,0.470781948881789,0.376597444089457,0.567292332268371,"PIK3CA"
4,0.509413738019169,0.407348242811502,0.601936900958466,"PIK3CA"
5,0.539837060702875,0.418730031948882,0.611821086261981,"PIK3CA"
