"k","frac_covered","gene","superpop"
2,0.71031746031746,"COL2A1","EAS"
3,0.773809523809524,"COL2A1","EAS"
4,0.807539682539683,"COL2A1","EAS"
5,0.825396825396825,"COL2A1","EAS"
6,0.839285714285714,"COL2A1","EAS"
7,0.849206349206349,"COL2A1","EAS"
8,0.85515873015873,"COL2A1","EAS"
9,0.859126984126984,"COL2A1","EAS"
10,0.861111111111111,"COL2A1","EAS"
1,0.538767395626243,"COL2A1","EUR"
2,0.719681908548708,"COL2A1","EUR"
3,0.803180914512923,"COL2A1","EUR"
4,0.84493041749503,"COL2A1","EUR"
5,0.866799204771372,"COL2A1","EUR"
6,0.878727634194831,"COL2A1","EUR"
7,0.884691848906561,"COL2A1","EUR"
8,0.888667992047714,"COL2A1","EUR"
9,0.892644135188867,"COL2A1","EUR"
10,0.894632206759443,"COL2A1","EUR"
1,0.537832310838446,"COL2A1","SAS"
2,0.78118609406953,"COL2A1","SAS"
3,0.850715746421268,"COL2A1","SAS"
4,0.877300613496933,"COL2A1","SAS"
5,0.893660531697341,"COL2A1","SAS"
6,0.903885480572597,"COL2A1","SAS"
7,0.914110429447853,"COL2A1","SAS"
8,0.918200408997955,"COL2A1","SAS"
9,0.922290388548057,"COL2A1","SAS"
10,0.924335378323108,"COL2A1","SAS"
1,0.48411497730711,"KCNJ11","AFR"
2,0.614220877458396,"KCNJ11","AFR"
3,0.679273827534039,"KCNJ11","AFR"
4,0.723146747352496,"KCNJ11","AFR"
5,0.744326777609682,"KCNJ11","AFR"
6,0.757942511346445,"KCNJ11","AFR"
7,0.763993948562784,"KCNJ11","AFR"
8,0.768532526475038,"KCNJ11","AFR"
9,0.770045385779123,"KCNJ11","AFR"
10,0.771558245083207,"KCNJ11","AFR"
1,0.489913544668588,"KCNJ11","AMR"
2,0.708933717579251,"KCNJ11","AMR"
3,0.77521613832853,"KCNJ11","AMR"
4,0.792507204610951,"KCNJ11","AMR"
5,0.804034582132565,"KCNJ11","AMR"
6,0.809798270893372,"KCNJ11","AMR"
7,0.812680115273775,"KCNJ11","AMR"
8,0.815561959654179,"KCNJ11","AMR"
9,0.818443804034582,"KCNJ11","AMR"
10,0.818443804034582,"KCNJ11","AMR"
1,0.509920634920635,"KCNJ11","EAS"
2,0.601190476190476,"KCNJ11","EAS"
3,0.626984126984127,"KCNJ11","EAS"
4,0.642857142857143,"KCNJ11","EAS"
5,0.646825396825397,"KCNJ11","EAS"
6,0.648809523809524,"KCNJ11","EAS"
7,0.650793650793651,"KCNJ11","EAS"
8,0.650793650793651,"KCNJ11","EAS"
9,0.650793650793651,"KCNJ11","EAS"
10,0.650793650793651,"KCNJ11","EAS"
1,0.499005964214712,"KCNJ11","EUR"
2,0.68986083499006,"KCNJ11","EUR"
3,0.757455268389662,"KCNJ11","EUR"
4,0.777335984095427,"KCNJ11","EUR"
5,0.781312127236581,"KCNJ11","EUR"
6,0.783300198807157,"KCNJ11","EUR"
7,0.785288270377734,"KCNJ11","EUR"
8,0.78727634194831,"KCNJ11","EUR"
9,0.789264413518887,"KCNJ11","EUR"
10,0.791252485089463,"KCNJ11","EUR"
1,0.476482617586912,"KCNJ11","SAS"
2,0.660531697341513,"KCNJ11","SAS"
3,0.723926380368098,"KCNJ11","SAS"
4,0.754601226993865,"KCNJ11","SAS"
5,0.770961145194274,"KCNJ11","SAS"
6,0.775051124744376,"KCNJ11","SAS"
7,0.779141104294479,"KCNJ11","SAS"
8,0.779141104294479,"KCNJ11","SAS"
9,0.779141104294479,"KCNJ11","SAS"
10,0.779141104294479,"KCNJ11","SAS"
1,0.527987897125567,"KCNQ2","AFR"
2,0.739788199697428,"KCNQ2","AFR"
3,0.841149773071104,"KCNQ2","AFR"
4,0.900151285930408,"KCNQ2","AFR"
5,0.930408472012103,"KCNQ2","AFR"
6,0.951588502269289,"KCNQ2","AFR"
7,0.962178517397882,"KCNQ2","AFR"
8,0.968229954614221,"KCNQ2","AFR"
9,0.97125567322239,"KCNQ2","AFR"
10,0.97428139183056,"KCNQ2","AFR"
1,0.527377521613833,"KCNQ2","AMR"
2,0.763688760806916,"KCNQ2","AMR"
3,0.870317002881844,"KCNQ2","AMR"
4,0.9164265129683,"KCNQ2","AMR"
5,0.93371757925072,"KCNQ2","AMR"
6,0.945244956772334,"KCNQ2","AMR"
7,0.953890489913545,"KCNQ2","AMR"
8,0.959654178674352,"KCNQ2","AMR"
9,0.962536023054755,"KCNQ2","AMR"
10,0.965417867435158,"KCNQ2","AMR"
1,0.533730158730159,"KCNQ2","EAS"
2,0.708333333333333,"KCNQ2","EAS"
3,0.791666666666667,"KCNQ2","EAS"
4,0.833333333333333,"KCNQ2","EAS"
5,0.857142857142857,"KCNQ2","EAS"
6,0.873015873015873,"KCNQ2","EAS"
7,0.882936507936508,"KCNQ2","EAS"
8,0.892857142857143,"KCNQ2","EAS"
9,0.900793650793651,"KCNQ2","EAS"
10,0.906746031746032,"KCNQ2","EAS"
1,0.481113320079523,"KCNQ2","EUR"
2,0.717693836978131,"KCNQ2","EUR"
3,0.846918489065606,"KCNQ2","EUR"
4,0.898608349900596,"KCNQ2","EUR"
5,0.926441351888668,"KCNQ2","EUR"
6,0.940357852882704,"KCNQ2","EUR"
7,0.946322067594433,"KCNQ2","EUR"
8,0.950298210735587,"KCNQ2","EUR"
9,0.952286282306163,"KCNQ2","EUR"
10,0.95427435387674,"KCNQ2","EUR"
1,0.511247443762781,"KCNQ2","SAS"
2,0.740286298568507,"KCNQ2","SAS"
3,0.824130879345603,"KCNQ2","SAS"
4,0.862985685071575,"KCNQ2","SAS"
5,0.887525562372188,"KCNQ2","SAS"
6,0.907975460122699,"KCNQ2","SAS"
7,0.920245398773006,"KCNQ2","SAS"
8,0.930470347648262,"KCNQ2","SAS"
9,0.934560327198364,"KCNQ2","SAS"
10,0.936605316973415,"KCNQ2","SAS"
1,0.521936459909228,"KIF1A","AFR"
2,0.767019667170953,"KIF1A","AFR"
3,0.881996974281392,"KIF1A","AFR"
4,0.939485627836611,"KIF1A","AFR"
5,0.969742813918306,"KIF1A","AFR"
6,0.984871406959153,"KIF1A","AFR"
7,0.989409984871407,"KIF1A","AFR"
8,0.990922844175492,"KIF1A","AFR"
9,0.992435703479576,"KIF1A","AFR"
10,0.993948562783661,"KIF1A","AFR"
1,0.510086455331412,"KIF1A","AMR"
2,0.723342939481268,"KIF1A","AMR"
3,0.832853025936599,"KIF1A","AMR"
4,0.881844380403458,"KIF1A","AMR"
5,0.9164265129683,"KIF1A","AMR"
6,0.939481268011527,"KIF1A","AMR"
7,0.953890489913545,"KIF1A","AMR"
8,0.962536023054755,"KIF1A","AMR"
9,0.971181556195965,"KIF1A","AMR"
10,0.974063400576369,"KIF1A","AMR"
1,0.531746031746032,"KIF1A","EAS"
2,0.759920634920635,"KIF1A","EAS"
3,0.859126984126984,"KIF1A","EAS"
4,0.912698412698413,"KIF1A","EAS"
5,0.942460317460317,"KIF1A","EAS"
6,0.962301587301587,"KIF1A","EAS"
7,0.970238095238095,"KIF1A","EAS"
8,0.978174603174603,"KIF1A","EAS"
9,0.984126984126984,"KIF1A","EAS"
10,0.988095238095238,"KIF1A","EAS"
1,0.52286282306163,"KIF1A","EUR"
2,0.755467196819085,"KIF1A","EUR"
3,0.856858846918489,"KIF1A","EUR"
4,0.918489065606362,"KIF1A","EUR"
5,0.960238568588469,"KIF1A","EUR"
6,0.976143141153082,"KIF1A","EUR"
7,0.982107355864811,"KIF1A","EUR"
8,0.986083499005964,"KIF1A","EUR"
9,0.988071570576541,"KIF1A","EUR"
10,0.990059642147117,"KIF1A","EUR"
1,0.531697341513292,"KIF1A","SAS"
2,0.738241308793456,"KIF1A","SAS"
3,0.85480572597137,"KIF1A","SAS"
4,0.912065439672802,"KIF1A","SAS"
5,0.946830265848671,"KIF1A","SAS"
6,0.967280163599182,"KIF1A","SAS"
7,0.973415132924335,"KIF1A","SAS"
8,0.977505112474438,"KIF1A","SAS"
9,0.98159509202454,"KIF1A","SAS"
10,0.983640081799591,"KIF1A","SAS"
1,0.43267776096823,"KIF5B","AFR"
2,0.659606656580938,"KIF5B","AFR"
3,0.723146747352496,"KIF5B","AFR"
4,0.774583963691377,"KIF5B","AFR"
