"k","frac_covered","gene","n_snps_avail"
3,0.689256714553404,"SPTAN1",64
4,0.727982510930668,"SPTAN1",64
5,0.757651467832605,"SPTAN1",64
6,0.769206745783885,"SPTAN1",64
7,0.777014366021237,"SPTAN1",64
8,0.780449718925671,"SPTAN1",64
9,0.78263585259213,"SPTAN1",64
10,0.784821986258588,"SPTAN1",64
11,0.786383510306059,"SPTAN1",64
12,0.787945034353529,"SPTAN1",64
13,0.789194253591505,"SPTAN1",64
14,0.790443472829482,"SPTAN1",64
15,0.791380387257964,"SPTAN1",64
16,0.792317301686446,"SPTAN1",64
17,0.793254216114928,"SPTAN1",64
18,0.793878825733916,"SPTAN1",64
19,0.794503435352904,"SPTAN1",64
20,0.795128044971893,"SPTAN1",64
21,0.795440349781387,"SPTAN1",64
22,0.795752654590881,"SPTAN1",64
23,0.796064959400375,"SPTAN1",64
24,0.796064959400375,"SPTAN1",64
1,0.433479075577764,"SPTLC1",69
2,0.599312929419113,"SPTLC1",69
3,0.688632104934416,"SPTLC1",69
4,0.751093066833229,"SPTLC1",69
5,0.773579013116802,"SPTLC1",69
6,0.780449718925671,"SPTLC1",69
7,0.7841973766396,"SPTLC1",69
8,0.786695815115553,"SPTLC1",69
9,0.788881948782011,"SPTLC1",69
10,0.790755777638976,"SPTLC1",69
11,0.792317301686446,"SPTLC1",69
12,0.793566520924422,"SPTLC1",69
13,0.794503435352904,"SPTLC1",69
14,0.795440349781387,"SPTLC1",69
15,0.796064959400375,"SPTLC1",69
16,0.796377264209869,"SPTLC1",69
17,0.796689569019363,"SPTLC1",69
18,0.797001873828857,"SPTLC1",69
19,0.797314178638351,"SPTLC1",69
20,0.797626483447845,"SPTLC1",69
21,0.797938788257339,"SPTLC1",69
22,0.797938788257339,"SPTLC1",69
1,0.485321673953779,"STAT1",85
2,0.704247345409119,"STAT1",85
3,0.810430980637102,"STAT1",85
4,0.860399750156152,"STAT1",85
5,0.886008744534666,"STAT1",85
6,0.902248594628357,"STAT1",85
7,0.910680824484697,"STAT1",85
8,0.914428482198626,"STAT1",85
9,0.917239225484072,"STAT1",85
10,0.919737663960025,"STAT1",85
11,0.921923797626483,"STAT1",85
12,0.923485321673954,"STAT1",85
13,0.924422236102436,"STAT1",85
14,0.925359150530918,"STAT1",85
15,0.9262960649594,"STAT1",85
16,0.926608369768894,"STAT1",85
17,0.926920674578389,"STAT1",85
18,0.927232979387883,"STAT1",85
19,0.927545284197377,"STAT1",85
20,0.927857589006871,"STAT1",85
21,0.927857589006871,"STAT1",85
1,0.457838850718301,"STAT3",84
2,0.655527795128045,"STAT3",84
3,0.762336039975016,"STAT3",84
4,0.79262960649594,"STAT3",84
5,0.806058713304185,"STAT3",84
6,0.813554028732043,"STAT3",84
7,0.81948782011243,"STAT3",84
8,0.824797001873829,"STAT3",84
9,0.828856964397252,"STAT3",84
10,0.831667707682698,"STAT3",84
11,0.833229231730169,"STAT3",84
12,0.834166146158651,"STAT3",84
13,0.834790755777639,"STAT3",84
14,0.835415365396627,"STAT3",84
15,0.836039975015615,"STAT3",84
16,0.836664584634603,"STAT3",84
17,0.836976889444097,"STAT3",84
18,0.837289194253591,"STAT3",84
19,0.837601499063086,"STAT3",84
20,0.83791380387258,"STAT3",84
21,0.838226108682074,"STAT3",84
22,0.838538413491568,"STAT3",84
23,0.838538413491568,"STAT3",84
