"k","mean_cov","gene"
9,0.925211479449186,"SCN8A"
10,0.92857858757852,"SCN8A"
1,0.424205196564837,"SPTAN1"
2,0.614955874622301,"SPTAN1"
3,0.694180478958011,"SPTAN1"
4,0.732040335868676,"SPTAN1"
5,0.750080582728893,"SPTAN1"
6,0.759974929618185,"SPTAN1"
7,0.768042477629628,"SPTAN1"
8,0.772597761963645,"SPTAN1"
9,0.774401124704756,"SPTAN1"
10,0.776008237544849,"SPTAN1"
1,0.446050236477453,"SPTLC1"
2,0.606748868834591,"SPTLC1"
3,0.68258454406811,"SPTLC1"
4,0.748410758991582,"SPTLC1"
5,0.767728744259238,"SPTLC1"
6,0.772664147568318,"SPTLC1"
7,0.775559988017609,"SPTLC1"
8,0.777726814150151,"SPTLC1"
9,0.779429758360832,"SPTLC1"
10,0.780801355865143,"SPTLC1"
1,0.486358549436407,"STAT1"
2,0.707895366166586,"STAT1"
3,0.803299315354173,"STAT1"
4,0.850820783077899,"STAT1"
5,0.876496794287663,"STAT1"
6,0.893198592424892,"STAT1"
7,0.905736305069505,"STAT1"
8,0.910639828702003,"STAT1"
9,0.914320892333048,"STAT1"
10,0.917172494377225,"STAT1"
1,0.450704963320522,"STAT3"
2,0.661485053870808,"STAT3"
3,0.754543581597562,"STAT3"
4,0.777102397821116,"STAT3"
5,0.791695110489427,"STAT3"
6,0.79838243854667,"STAT3"
7,0.802879330976027,"STAT3"
8,0.806207621445013,"STAT3"
9,0.809233340053183,"STAT3"
10,0.81133153182611,"STAT3"
